date,close,open
2015,"34,453","54,757"
2014,"32,588","53,196"
2013,"31,968","50,779"
2012,"31,368","49,915"
2011,"30,553","48,948"
2010,"29,745","47,077"
2009,"29,723","46,800"
2008,"29,087","47,751"
2007,"29,249","47,137"
2006,"28,416","46,677"
2005,"26,261","44,850"
2004,"25,027","42,831"
2003,"24,630","41,483"
2002,"23,619","41,057"
2001,"23,602","40,859"
2000,"22,428","40,254"
1999,"21,312","38,384"
1998,"20,462","36,315"
1997,"19,511","34,794"
1996,"18,369","32,800"
1995,"17,265","31,454"
1994,"16,478","30,367"
1993,"15,761","28,939"
1992,"14,922","26,810"
1991,"14,449","26,369"
1990,"13,913","26,041"
1989,"13,226","25,746"
1988,"12,311","24,054"
1987,"11,538","22,798"
1986,"10,741","21,822"
1985,"10,173","20,652"
1984,"9,584","19,438"
1983,"8,780","18,109"
1982,"8,195","17,381"
1981,"7,440","16,515"
1980,"6,772","15,340"
1979,"6,026","14,311"
1978,"5,599","13,113"
1977,"5,291","12,063"
1976,"4,875","11,165"
1975,"4,513","10,429"
1974,"4,161","9,861"
1973,"3,799","9,289"
1972,"3,577","8,635"
1971,"3,333","7,892"
1970,"3,138","7,537"
1969,"2,945","7,202"
1968,"2,732","6,626"
1967,"2,483","6,054"
