date,HispanicW,BlackW,WhiteW,BlackM,HispanicM,AsianW,WhiteM,AsianM
2015,"27,116","30,624","34,453","38,979","39,238","41,211","54,757","63,934"
2014,"24,731","28,427","32,588","38,031","36,452","39,083","53,196","59,620"
2013,"24,530","28,400","32,453","36,938","35,221","37,797","52,529","64,164"
2012,"23,472","27,531","31,368","34,232","33,553","37,004","49,915","57,141"
2011,"23,309","27,106","30,553","34,086","31,979","34,609","48,948","53,349"
2010,"22,614","26,315","29,745","32,453","31,485","34,112","47,077","51,742"
2009,"22,866","26,059","29,723","33,077","30,928","35,824","46,800","56,670"
2008,"22,063","26,233","29,087","32,986","32,534","34,375","47,751","54,231"
2007,"22,649","26,950","29,249","32,481","31,693","34,980","47,137","52,538"
2006,"21,676","25,839","28,416","32,232","31,432","34,315","46,677","55,208"
2005,"20,356","23,877","26,261","30,791","29,799","30,790","44,850","49,654"
2004,"19,494","22,552","25,027","29,822","29,232","29,385","42,831","48,311"
2003,"18,852","22,400","24,630","28,880","27,725","27,807","41,483","43,842"
2002,"18,180","22,055","23,619","28,819","27,647","26,132","41,057","44,124"
